"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"111";"Tocantins";"Regular do ensino fundamental";"Outros";0,0141726503464372;0,00445709366680083
"112";"Maranhão";"Regular do ensino fundamental";"Branca";0,160971495798327;0,00822977074542389
"113";"Maranhão";"Regular do ensino fundamental";"Negra";0,829352131304686;0,00844479770750943
"114";"Maranhão";"Regular do ensino fundamental";"Outros";0,00967637289698698;0,00180370265621538
"115";"Piauí";"Regular do ensino fundamental";"Branca";0,189805624221828;0,0174009215777677
"116";"Piauí";"Regular do ensino fundamental";"Negra";0,808321592509976;0,0174229682634248
"117";"Piauí";"Regular do ensino fundamental";"Outros";0,00187278326819588;0,000887790364900592
"118";"Ceará";"Regular do ensino fundamental";"Branca";0,254059817821519;0,010274592425066
"119";"Ceará";"Regular do ensino fundamental";"Negra";0,738787526736876;0,0103150405431489
"120";"Ceará";"Regular do ensino fundamental";"Outros";0,00715265544160448;0,00225587684221143
"121";"Rio Grande do Norte";"Regular do ensino fundamental";"Branca";0,412852064921112;0,0211555048554705
"122";"Rio Grande do Norte";"Regular do ensino fundamental";"Negra";0,585901635895798;0,0210673385957598
"123";"Rio Grande do Norte";"Regular do ensino fundamental";"Outros";0,00124629918309065;0,000761504865142168
"124";"Paraíba";"Regular do ensino fundamental";"Branca";0,326938257302985;0,0179955852851356
"125";"Paraíba";"Regular do ensino fundamental";"Negra";0,672199282919729;0,0180691758152756
"126";"Paraíba";"Regular do ensino fundamental";"Outros";0,000862459777286187;0,000646308121613244
"127";"Pernambuco";"Regular do ensino fundamental";"Branca";0,293860425262584;0,0162221626913221
"128";"Pernambuco";"Regular do ensino fundamental";"Negra";0,691365741762157;0,0160585133995371
"129";"Pernambuco";"Regular do ensino fundamental";"Outros";0,0147738329752588;0,00609480929348337
"130";"Alagoas";"Regular do ensino fundamental";"Branca";0,245858327073474;0,0100361677996072
"131";"Alagoas";"Regular do ensino fundamental";"Negra";0,74687223970302;0,0106452759651505
"132";"Alagoas";"Regular do ensino fundamental";"Outros";0,00726943322350648;0,00275283508795286
"133";"Sergipe";"Regular do ensino fundamental";"Branca";0,186951473583433;0,0137532440457419
"134";"Sergipe";"Regular do ensino fundamental";"Negra";0,807493555691056;0,0140458555917695
"135";"Sergipe";"Regular do ensino fundamental";"Outros";0,00555497072551077;0,00212026144160912
"136";"Bahia";"Regular do ensino fundamental";"Branca";0,165508919464155;0,00850726045607098
"137";"Bahia";"Regular do ensino fundamental";"Negra";0,821301703815419;0,00870490560777437
"138";"Bahia";"Regular do ensino fundamental";"Outros";0,0131893767204258;0,00352892111477551
"139";"Minas Gerais";"Regular do ensino fundamental";"Branca";0,341040312598291;0,0111129585990546
"140";"Minas Gerais";"Regular do ensino fundamental";"Negra";0,657535946574243;0,0111315649511544
"141";"Minas Gerais";"Regular do ensino fundamental";"Outros";0,00142374082746588;0,000741860376909283
"142";"Espírito Santo";"Regular do ensino fundamental";"Branca";0,331648128565806;0,0146052590220884
"143";"Espírito Santo";"Regular do ensino fundamental";"Negra";0,664279646526059;0,0145835525874562
"144";"Espírito Santo";"Regular do ensino fundamental";"Outros";0,00407222490813464;0,00159737939778217
"145";"Rio de Janeiro";"Regular do ensino fundamental";"Branca";0,386108448350668;0,0118867520774639
