"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"106";"Amapá";"Regular do ensino fundamental";"Branca";25782,18392726;2598,16363568916
"107";"Amapá";"Regular do ensino fundamental";"Negra";124497,30613788;7108,51840822171
"108";"Amapá";"Regular do ensino fundamental";"Outros";414,63715189;273,912591890409
"109";"Tocantins";"Regular do ensino fundamental";"Branca";43988,87106733;4394,1919775257
"110";"Tocantins";"Regular do ensino fundamental";"Negra";205284,71409173;10810,5215568499
"111";"Tocantins";"Regular do ensino fundamental";"Outros";3583,65728472;1147,93953445071
"112";"Maranhão";"Regular do ensino fundamental";"Branca";205179,23952592;10372,9187761531
"113";"Maranhão";"Regular do ensino fundamental";"Negra";1057117,83789031;22320,0480480605
"114";"Maranhão";"Regular do ensino fundamental";"Outros";12333,80371181;2305,2973965721
"115";"Piauí";"Regular do ensino fundamental";"Branca";90154,56306358;8093,57249523788
"116";"Piauí";"Regular do ensino fundamental";"Negra";383939,51858047;17300,7263377871
"117";"Piauí";"Regular do ensino fundamental";"Outros";889,54138187;420,251467698915
"118";"Ceará";"Regular do ensino fundamental";"Branca";315867,9855627;13944,8391994316
"119";"Ceará";"Regular do ensino fundamental";"Negra";918521,19642613;25271,6833603065
"120";"Ceará";"Regular do ensino fundamental";"Outros";8892,76740075;2796,99749225489
"121";"Rio Grande do Norte";"Regular do ensino fundamental";"Branca";216762,65987496;13166,8196686745
"122";"Rio Grande do Norte";"Regular do ensino fundamental";"Negra";307620,10853968;14628,2581773237
"123";"Rio Grande do Norte";"Regular do ensino fundamental";"Outros";654,35333593;396,177667661298
"124";"Paraíba";"Regular do ensino fundamental";"Branca";190860,73053112;11548,2511216514
"125";"Paraíba";"Regular do ensino fundamental";"Negra";392417,96680178;16497,3730409705
"126";"Paraíba";"Regular do ensino fundamental";"Outros";503,48865411;377,671832520498
"127";"Pernambuco";"Regular do ensino fundamental";"Branca";391686,2066783;22580,284596023
"128";"Pernambuco";"Regular do ensino fundamental";"Negra";921520,56397581;32569,1060782888
"129";"Pernambuco";"Regular do ensino fundamental";"Outros";19692,02416762;8231,59911596642
"130";"Alagoas";"Regular do ensino fundamental";"Branca";133863,15593527;6278,3351225063
"131";"Alagoas";"Regular do ensino fundamental";"Negra";406651,5715663;12114,3399268497
"132";"Alagoas";"Regular do ensino fundamental";"Outros";3958,00819416;1482,94096192914
"133";"Sergipe";"Regular do ensino fundamental";"Branca";69259,07965749;5458,40152132079
"134";"Sergipe";"Regular do ensino fundamental";"Negra";299148,54065891;10280,5030855065
"135";"Sergipe";"Regular do ensino fundamental";"Outros";2057,92526049;783,641779962508
"136";"Bahia";"Regular do ensino fundamental";"Branca";372244,20770178;20705,5380087446
"137";"Bahia";"Regular do ensino fundamental";"Negra";1847180,21850843;49611,5529370015
"138";"Bahia";"Regular do ensino fundamental";"Outros";29664,07552699;7993,26144603636
"139";"Minas Gerais";"Regular do ensino fundamental";"Branca";895089,20280716;32842,4236501363
"140";"Minas Gerais";"Regular do ensino fundamental";"Negra";1725758,81646415;44814,8917672344
"141";"Minas Gerais";"Regular do ensino fundamental";"Outros";3736,72846049;1948,19470204162
"142";"Espírito Santo";"Regular do ensino fundamental";"Branca";176566,09413148;8295,0911151526
